ダウンロードした時刻：2020/04/16 00:18:45,,,,,,,,,
,,,,,,,,,
,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),平均湿度(％),平均湿度(％),平均湿度(％),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,晴後曇,8,1,68,8,1,5.7,8,1
2019/1/2,晴時々曇,8,1,58,8,1,6.6,8,1
2019/1/3,晴後一時曇,8,1,66,8,1,5.2,8,1
2019/1/4,晴後時々曇,8,1,65,8,1,6.3,8,1
2019/1/5,曇時々晴一時雨,8,1,65,8,1,8.8,8,1
2019/1/6,曇後時々晴,8,1,62,8,1,6.2,8,1
2019/1/7,晴,8,1,63,8,1,6,8,1
2019/1/8,薄曇後晴,8,1,59,8,1,8.2,8,1
2019/1/9,晴後一時曇,8,1,55,8,1,5.4,8,1
2019/1/10,曇,8,1,65,8,1,4.8,8,1
2019/1/11,曇後一時晴,8,1,59,8,1,8.2,8,1
2019/1/12,曇,8,1,66,8,1,5.7,8,1
2019/1/13,晴,8,1,62,8,1,7.2,8,1
2019/1/14,晴,8,1,64,8,1,7,8,1
2019/1/15,曇時々雨,8,1,77,8,1,6,8,1
2019/1/16,晴一時曇,8,1,62,8,1,7.1,8,1
2019/1/17,曇時々晴,8,1,53,8,1,7.3,8,1
2019/1/18,晴時々曇,8,1,62,8,1,6.6,8,1
2019/1/19,晴,8,1,62,8,1,7.3,8,1
2019/1/20,雨後晴時々曇,8,1,70,8,1,8,8,1
2019/1/21,晴後時々曇,8,1,55,8,1,7.4,8,1
2019/1/22,晴,8,1,55,8,1,7.7,8,1
2019/1/23,晴一時曇,8,1,62,8,1,7.9,8,1
2019/1/24,晴,8,1,51,8,1,6.7,8,1
2019/1/25,曇一時晴,8,1,55,8,1,7,8,1
2019/1/26,曇後晴,8,1,58,8,1,4,8,1
2019/1/27,曇一時雪後晴,8,1,59,8,1,5,8,1
2019/1/28,曇後一時雨,8,1,66,8,1,6,8,1
2019/1/29,曇時々晴,8,1,54,8,1,5.4,8,1
2019/1/30,晴一時薄曇,8,1,56,8,1,6.3,8,1
2019/1/31,雨時々曇,8,1,76,8,1,5.7,8,1
2019/2/1,晴一時雪,8,1,58,8,1,5.2,8,1
2019/2/2,快晴,8,1,60,8,1,6.9,8,1
2019/2/3,曇時々晴後時々雨,8,1,78,8,1,6.8,8,1
2019/2/4,曇時々晴,8,1,72,8,1,10.5,8,1
2019/2/5,晴,8,1,56,8,1,8.6,8,1
2019/2/6,雨後晴,8,1,80,8,1,8.9,8,1
2019/2/7,曇,8,1,82,8,1,10,8,1
2019/2/8,曇一時晴,8,1,62,8,1,6.6,8,1
2019/2/9,曇,8,1,60,8,1,5,8,1
2019/2/10,晴後曇,8,1,55,8,1,4.2,8,1
2019/2/11,みぞれ時々雪後曇,8,1,73,8,1,4.1,8,1
2019/2/12,晴,8,1,56,8,1,6.7,8,1
2019/2/13,晴一時曇,8,1,57,8,1,7.4,8,1
2019/2/14,曇,8,1,57,8,1,4.9,8,1
2019/2/15,曇一時晴,8,1,60,8,1,4.6,8,1
2019/2/16,曇後一時雨,8,1,64,8,1,7.7,8,1
2019/2/17,曇一時晴後一時雨,8,1,60,8,1,5.8,8,1
